year,canonical_name,category,amount_local,unit,currency,item_type,source_file,page_number,pdf_path,full_text_cache,line_description_en,traceability_status,trace_method,trace_excerpt,series_notes
1982,Economic and Social Research Council (ESRC),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1982,Industrial Innovation Support Measures (1982 package),rd_programme,20000000.0,pound,GBP,verified_override,1982_UK.pdf,,Data/input/finance_bills/UK/1982_UK.pdf,Data/output/budget/full_text/UK/pdf_ef3a0b480445__1982_UK.txt.gz,Budget 1982: 'New measures to promote research and innovation in industry will involve additional expenditure of £20 million in 1982-83.' Earliest confirmed genuine R&D appropriation in the UK corpus.,verified_against_original_file,,,"Budget 1982: 'New measures to promote research and innovation in industry will involve additional expenditure of £20 million in 1982-83, £35 million in 1983-84 and £45 million in 1984-85.' Per-year tranches explicitly disaggregated (not a vague multi-year total), so each year is locked separately. The 1983-84 figure was updated in Budget 1983 to £39 million ('the cost is £39 million in 1983-84') — the more contemporaneous figure is used for 1983. The 1984-85 £45 million figure is the 1982 forecast only; it was not independently re-confirmed in the 1984 document (no matching mention found) — flagged as lower-confidence. This is the earliest confirmed genuine R&D appropriation found in the UK corpus, extending the series two years earlier than the prior 1994 start of consistent coverage.; locked manual curation"
1982,Medical Research Council (MRC),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1982,Natural Environment Research Council (NERC),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1982,Research Councils (pre-UKRI),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1982,"Total UK Science & Technology Spending (headline, HMT Budget)",national_total,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1983,Industrial Innovation Support Measures (1982 package),rd_programme,39000000.0,pound,GBP,verified_override,1983_UK.pdf,,Data/input/finance_bills/UK/1983_UK.pdf,Data/output/budget/full_text/UK/pdf_c306c004a65e__1983_UK.txt.gz,"Budget 1983: 'the cost is £39 million in 1983-84', updating the £35 million forecast given a year earlier in Budget 1982 for the same industrial-innovation measure. Using the more contemporaneous figure.",verified_against_original_file,,,"Budget 1982: 'New measures to promote research and innovation in industry will involve additional expenditure of £20 million in 1982-83, £35 million in 1983-84 and £45 million in 1984-85.' Per-year tranches explicitly disaggregated (not a vague multi-year total), so each year is locked separately. The 1983-84 figure was updated in Budget 1983 to £39 million ('the cost is £39 million in 1983-84') — the more contemporaneous figure is used for 1983. The 1984-85 £45 million figure is the 1982 forecast only; it was not independently re-confirmed in the 1984 document (no matching mention found) — flagged as lower-confidence. This is the earliest confirmed genuine R&D appropriation found in the UK corpus, extending the series two years earlier than the prior 1994 start of consistent coverage.; locked manual curation; locked manual curation"
1984,Industrial Innovation Support Measures (1982 package),rd_programme,45000000.0,pound,GBP,verified_override,1982_UK.pdf,,Data/input/finance_bills/UK/1982_UK.pdf,Data/output/budget/full_text/UK/pdf_ef3a0b480445__1982_UK.txt.gz,"Budget 1982's forecast of '£45 million in 1984-85' for the same industrial-innovation measure. Not independently re-confirmed in the 1984 document itself (no matching mention found) — lower-confidence than the 1982/1983 figures, included as the best available number rather than left blank.",verified_against_original_file,,,"Budget 1982: 'New measures to promote research and innovation in industry will involve additional expenditure of £20 million in 1982-83, £35 million in 1983-84 and £45 million in 1984-85.' Per-year tranches explicitly disaggregated (not a vague multi-year total), so each year is locked separately. The 1983-84 figure was updated in Budget 1983 to £39 million ('the cost is £39 million in 1983-84') — the more contemporaneous figure is used for 1983. The 1984-85 £45 million figure is the 1982 forecast only; it was not independently re-confirmed in the 1984 document (no matching mention found) — flagged as lower-confidence. This is the earliest confirmed genuine R&D appropriation found in the UK corpus, extending the series two years earlier than the prior 1994 start of consistent coverage.; locked manual curation; locked manual curation"
1987,Economic and Social Research Council (ESRC),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1987,Medical Research Council (MRC),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
