country,agency_name,agency_type,rd_fraction,canonical_name,active_years,include_in_series,notes,classified_by
Australia,Abstract,unclear,0.0,Abstract,,False,Cannot determine from the name alone.,llm
Australia,Arts,unclear,0.0,Department of Arts,,False,Cannot determine the R&D focus from the name alone.,llm
Australia,Payments to corporate entities:,unclear,0.0,Payments to corporate entities,,False,The name does not specify if it is an R&D agency or a broader funding mechanism.,llm
Australia,approach to all sports integrity matters,unclear,0.0,Approach to All Sports Integrity Matters,,False,The name does not provide enough information to classify the agency.,llm
Australia,and customer experience,unclear,0.0,and customer experience,,False,Cannot determine from the name alone.,llm
Australia,Pharmaceutical benefits schemes,unclear,0.0,Pharmaceutical Benefits Scheme,,False,Cannot determine if this is a dedicated R&D agency or a program within a ministry.,llm
Australia,business registry services,unclear,0.0,Business Registry Services,,False,Cannot determine from the name alone.,llm
Australia,cultural expression,unclear,0.0,Cultural Expression,,False,Cannot determine the nature of the agency from the name alone.,llm
Australia,commemorative ceremonies and research,unclear,0.0,Commemorative Ceremonies and Research,,False,The name does not provide enough information to classify the agency's focus on R&D.,llm
Australia,arrangements,unclear,0.0,arrangements,,False,Cannot determine from the name alone.,llm
Australia,effectively delivering programs,unclear,0.0,Effectively Delivering Programs,,False,Cannot determine the nature of the agency from the name alone.,llm
Australia,effective use of resources,unclear,0.0,Effective Use of Resources,,False,Cannot determine from the name alone.,llm
Australia,Outcome 1 -,unclear,0.0,Outcome 1,,False,Cannot determine the nature of the agency from the name alone.,llm
Australia,directed by Government,unclear,0.0,Directed by Government,,False,Cannot determine the specific nature or focus of the agency from the name alone.,llm
Australia,policing and international partnerships,unclear,0.0,Policing and International Partnerships,,False,Cannot determine the R&D focus from the name alone.,llm
Australia,Outcome 1 - Outcome 1 - Outcome 1 -,unclear,0.0,Outcome 1,,False,Cannot determine the nature of the agency from the name alone.,llm
Australia,and supporting a strong resources sector,unclear,0.0,and supporting a strong resources sector,,False,"The name does not specify if it is an agency or a program, and lacks clarity on R&D focus.",llm
Australia,research excellence and providing advice,unclear,0.0,Research Excellence and Providing Advice,,False,The name does not clearly indicate if it is a dedicated R&D agency or a broader ministry.,llm
Australia,health,mixed_ministry,10.0,Department of Health,,False,Broad government department where R&D is a small component.,llm
Australia,"development, services and advice",unclear,0.0,"Development, Services and Advice",,False,Cannot determine the focus of this agency from the name alone.,llm
