country,pdf_files,pdf_years,min_pdf_year,max_pdf_year,results_rows,results_years,budget_items_rows,budget_items_years,missing_years_vs_pdfs,context_before_pct,context_after_pct,raw_line_pct,merged_line_pct,taxonomy_hits_pct,taxonomy_positive_pct,rationale_pct,ai_ready_pct,low_score_rows,review_rows,include_rows,anomaly_count
Denmark,51,50,1975,2025,4002,49,4002,49,1,100.0,99.95,100.0,99.98,99.13,99.13,100.0,98.7,35,1894,2108,22
United Kingdom,54,47,1975,2025,44,21,44,21,26,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0,0,44,16
Germany,113,52,1955,2025,97,51,97,51,1,0.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0,0,97,9
Australia,315,52,1975,2026,183,47,183,47,7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0,0,183,7
Canada,134,36,1987,2024,438,36,438,36,0,0.0,0.0,99.09,99.09,99.09,100.0,99.09,0.0,0,0,438,6
Spain,46,44,1979,2023,387,27,387,27,18,0.0,0.0,96.64,96.64,100.0,100.0,100.0,0.0,0,0,387,5
Belgium,34,32,1993,2025,12,4,12,4,28,0.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0,12,0,3
Finland,39,37,1985,2025,104,30,104,30,7,0.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0,0,104,3
Chile,52,50,1976,2025,0,0,0,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Israel,44,42,1975,2025,0,0,0,0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Estonia,35,34,1991,2025,0,0,0,0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Czech Republic,33,33,1993,2025,0,0,0,0,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Colombia,31,30,1995,2025,0,0,0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Costa Rica,25,17,1989,2025,0,0,0,0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Korea,23,7,2018,2025,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Japan,51,51,1975,2025,77,51,77,51,0,54.55,38.96,100.0,100.0,100.0,100.0,100.0,0.0,0,0,77,0
