country,year,results_rows,budget_items_rows,results_total_amount_local,budget_items_total_amount_local,median_taxonomy_score,include_rows,review_rows
Australia,1972,1,1,50300000.0,50300000.0,8.0,1,0
Australia,1973,1,1,56100000.0,56100000.0,8.0,1,0
Australia,1975,2,2,80820000.0,80820000.0,8.0,2,0
Australia,1976,2,2,91620200.0,91620200.0,8.0,2,0
Australia,1977,2,2,116914000.0,116914000.0,8.0,2,0
Australia,1978,2,2,133348000.0,133348000.0,8.0,2,0
Australia,1979,2,2,143344000.0,143344000.0,8.0,2,0
Australia,1980,2,2,155240000.0,155240000.0,8.0,2,0
Australia,1981,2,2,171031000.0,171031000.0,8.0,2,0
Australia,1982,2,2,223624000.0,223624000.0,8.0,2,0
Australia,1983,2,2,255118000.0,255118000.0,8.0,2,0
Australia,1984,2,2,282298000.0,282298000.0,8.0,2,0
Australia,1985,2,2,298184000.0,298184000.0,8.0,2,0
Australia,1986,2,2,313504000.0,313504000.0,8.0,2,0
Australia,1987,2,2,337232200.0,337232200.0,8.0,2,0
Australia,1988,4,4,420113800.0,420113800.0,8.0,4,0
Australia,1989,3,3,369463100.0,369463100.0,8.0,3,0
Australia,1990,3,3,419827700.0,419827700.0,8.0,3,0
Australia,1991,3,3,449593600.0,449593600.0,8.0,3,0
Australia,1992,3,3,478338000.0,478338000.0,8.0,3,0
Australia,1993,3,3,484089000.0,484089000.0,8.0,3,0
Australia,1994,4,4,631011000.0,631011000.0,8.0,4,0
Australia,1995,5,5,635840000.0,635840000.0,8.0,5,0
Australia,1996,5,5,650624000.0,650624000.0,8.0,5,0
Australia,1997,5,5,684063000.0,684063000.0,8.0,5,0
Australia,1998,5,5,715798000.0,715798000.0,8.0,5,0
Australia,1999,5,5,717250000.0,717250000.0,8.0,5,0
Australia,2004,3,3,1176000.0,1176000.0,8.0,3,0
Australia,2005,4,4,36329000.0,36329000.0,8.0,4,0
Australia,2007,5,5,54564000.0,54564000.0,8.0,5,0
Australia,2009,5,5,1542128000.0,1542128000.0,8.0,5,0
Australia,2011,4,4,16924000.0,16924000.0,8.0,4,0
Australia,2012,5,5,1734717000.0,1734717000.0,8.0,5,0
Australia,2013,6,6,1800215000.0,1800215000.0,8.0,6,0
Australia,2014,6,6,1845237000.0,1845237000.0,8.0,6,0
Australia,2015,6,6,1930209000.0,1930209000.0,8.0,6,0
Australia,2016,6,6,1921307000.0,1921307000.0,8.0,6,0
Australia,2017,5,5,1127139000.0,1127139000.0,8.0,5,0
Australia,2018,5,5,1972624000.0,1972624000.0,8.0,5,0
Australia,2019,5,5,2052438000.0,2052438000.0,8.0,5,0
Australia,2020,6,6,1204160000.0,1204160000.0,8.0,6,0
Australia,2021,6,6,1612586000.0,1612586000.0,8.0,6,0
Australia,2022,6,6,2674302000.0,2674302000.0,8.0,6,0
Australia,2023,6,6,977469000.0,977469000.0,8.0,6,0
Australia,2024,6,6,2469919000.0,2469919000.0,8.0,6,0
Australia,2025,6,6,3444641000.0,3444641000.0,8.0,6,0
Australia,2026,6,6,2122490000.0,2122490000.0,8.0,6,0
Belgium,2002,3,3,166714224.0,166714224.0,7.0,0,3
Belgium,2012,6,6,937500.0,937500.0,7.0,0,6
Belgium,2021,1,1,14000.0,14000.0,7.0,0,1
Belgium,2022,2,2,314000.0,314000.0,7.0,0,2
Canada,1987,1,1,28264000.0,28264000.0,10.5,1,0
Canada,1988,3,3,725284000.0,725284000.0,10.5,3,0
Canada,1989,7,7,1349907500.0,1349907500.0,10.5,7,0
Canada,1990,6,6,604560199.0,604560199.0,10.5,6,0
Canada,1991,10,10,793391500.0,793391500.0,10.5,10,0
Canada,1992,6,6,2277449485.0,2277449485.0,10.5,6,0
