country,year,total_amount_local
Australia,1972,44541000.0
Australia,1973,51060000.0
Australia,1975,80820000.0
Australia,1976,90805604.0
Australia,1977,116587360.0
Australia,1978,132698000.0
Australia,1979,143194000.0
Australia,1980,918479.0
Australia,1981,171031000.0
Australia,1982,223066000.0
Australia,1983,255118000.0
Australia,1984,269506998.0
Australia,1985,298184000.0
Australia,1986,313504000.0
Australia,1987,331777100.0
Australia,1988,419280946.0
Australia,1989,369463100.0
Australia,1990,419827700.0
Australia,1991,449593600.0
Australia,1992,473703700.0
Australia,1993,484089000.0
Australia,1994,622439483.0
Australia,1995,635840000.0
Australia,1996,636288000.0
Australia,1997,675244090.0
Australia,1998,703817000.0
Australia,1999,697667000.0
Australia,2004,23288000.0
Australia,2005,36329000.0
Australia,2007,54564000.0
Australia,2009,1542128000.0
Australia,2011,16924000.0
Australia,2012,1734717000.0
Australia,2013,1800215000.0
Australia,2014,1845237000.0
Australia,2015,1930209000.0
Australia,2016,1921307000.0
Australia,2017,1127139000.0
Australia,2018,1972624000.0
Australia,2019,2052438000.0
Australia,2020,1355956000.0
Australia,2021,1612586000.0
Australia,2022,2674302000.0
Australia,2023,1048363000.0
Australia,2024,2540045000.0
Australia,2025,3444641000.0
Australia,2026,2133942000.0
Canada,1987,28264000.0
Canada,1988,717938500.0
Canada,1989,898990500.0
Canada,1990,513079200.0
Canada,1991,574344500.0
Canada,1992,1769636484.0
Canada,1993,770349559.0
Canada,1994,574474999.0
Canada,1995,1300854000.0
Canada,1996,725457309.0
Canada,1997,923079000.0
Canada,1998,610782000.0
Canada,1999,1034972000.0
Canada,2000,711208091.0
Canada,2001,1079951741.0
Canada,2002,1656986139.0
Canada,2003,2283815000.0
Canada,2006,2962788000.0
Canada,2007,3037005000.0
Canada,2008,3390365000.0
Canada,2009,3296847428.0
Canada,2010,3586578193.0
Canada,2011,3537895689.0
Canada,2012,3392151465.0
Canada,2013,3579867662.0
Canada,2014,3576976658.0
Canada,2015,3599590419.0
Canada,2016,4668350394.0
Canada,2017,4842914154.0
Canada,2018,5007305803.0
Canada,2019,5627949671.0
Canada,2020,5796444789.0
Canada,2021,5926187843.0
Canada,2022,6044858824.0
Canada,2023,6670825923.0
Canada,2024,6900108258.0
New Zealand,2002,89886000.0
New Zealand,2003,92801000.0
New Zealand,2005,82054000.0
New Zealand,2007,185987000.0
New Zealand,2008,230532000.0
New Zealand,2009,278309000.0
New Zealand,2010,562417000.0
New Zealand,2011,535759000.0
New Zealand,2012,571335000.0
New Zealand,2013,462893000.0
New Zealand,2014,550163000.0
New Zealand,2015,724449000.0
New Zealand,2016,303693000.0
New Zealand,2017,589577000.0
New Zealand,2018,843956000.0
New Zealand,2019,940056000.0
New Zealand,2020,975552000.0
New Zealand,2021,991180000.0
New Zealand,2022,1005680000.0
New Zealand,2023,1011878000.0
New Zealand,2024,1130547000.0
New Zealand,2025,1146574000.0
United Kingdom,1995,6000000000.0
United Kingdom,1996,6000000000.0
United Kingdom,2017,12500000000.0
United Kingdom,2020,22000000000.0
United Kingdom,2021,20000000000.0
United Kingdom,2025,22600000000.0
