canonical_name,category,name_variants,preferred_item_type,active_years,notes,agency_type,confidence,source_entity,n_years_seen,avg_amount,reason,country
Research Service,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2013, 2013)",This entity is directly involved in research activities.,rd_programme,0.7,SERVICIO DE INVESTIGACIÓN,1,121283547550.0,confidence below threshold,Costa Rica
Applied Hydrometeorology,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2013, 2013)",This entity is focused on applied research in hydrometeorology.,rd_programme,0.7,HIDROMETEOROLOGÍA APLICADA,1,3652203003.0,confidence below threshold,Costa Rica
Tools and Instruments,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2010, 2025)",This program likely supports R&D through the provision of tools and instruments.,rd_programme,0.7,HERRAMIENTAS E INSTRUMENTOS,15,277497418.3183636,confidence below threshold,Costa Rica
Chemical and Microbiological Analysis,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2011, 2011)","This entity is involved in scientific analysis, relevant to R&D.",rd_programme,0.7,ANÁLISIS QUÍMICOS Y MICROBIOLÓGICOS).,1,70525000.0,confidence below threshold,Costa Rica
National Animal Health Service,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2013, 2013)","This entity is involved in animal health, which includes R&D activities.",rd_programme,0.6,"NACIONAL DE SALUD ANIMAL, LEY GENERAL DEL SERVICIO DE SALUD ANIMAL No.8495 DEL 06/04/2006 Y SUS REFORMAS).",1,70000000.0,confidence below threshold,Costa Rica
Agrofuels Program,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2013, 2013)","This program focuses on agrofuels, which involves research and development in renewable energy.",rd_programme,0.7,PROGRAMA AGROCOMBUSTIBLES. DIRECCIÓN PROGRAMA AGROCOMBUSTIBLES.,1,62806700.0,confidence below threshold,Costa Rica
Center for Training and Agricultural Research,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2010, 2010)",This entity focuses on training and research in agriculture.,rd_programme,0.7,CENTRO DE FORMACION E INVESTIGACION HACENDARIA,1,26538600.0,confidence below threshold,Costa Rica
United Nations Framework Convention on Climate Change,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2013, 2013)",This convention is related to climate research and development.,rd_programme,0.7,CONVENCIÓN MARCO DE LAS NACIONES UNIDAS SOBRE CAMBIO CLIMÁTICO.,1,10431975.0,confidence below threshold,Costa Rica
Environmental Information Network for Latin America and the Caribbean,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2013, 2013)",This network likely supports environmental research and data sharing.,rd_programme,0.7,RED DE INFORMACIÓN AMBIENTAL PARA AMÉRICA LATINA Y EL CARIBE.,1,7800000.0,confidence below threshold,Costa Rica
Pharmaceutical and Medicinal Products,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2010, 2011)",This entity is likely involved in R&D related to pharmaceuticals.,rd_programme,0.7,PRODUCTOS FARMACEUTICOS Y MEDICINALES,2,5380000.0,confidence below threshold,Costa Rica
Digital MEP,higher_education,[],"['section_total', 'program_total', 'line_item']","(2010, 2010)",This program is likely related to educational technology and innovation.,rd_programme,0.6,MEP-DIGITAL).,1,2834612.0,confidence below threshold,Costa Rica
"Development of Information Systems for Control, Consultation, and Documentation Archiving",direct_rd,[],"['section_total', 'program_total', 'line_item']","(2011, 2011)","This entity is involved in the development of information systems, which is relevant to R&D.",rd_programme,0.6,"DESARROLLO DE SISTEMAS INFORMÁTICOS PARA EL CONTROL, CONSULTA Y ARCHIVO DE DOCUMENTACIÓN",1,1500000.0,confidence below threshold,Costa Rica
