country,year,canonical_name,category,gap_type,diagnosis,raw_row_match,raw_row_amount,raw_row_file,action,series_amount,prev_amount,next_amount
Costa Rica,2010,"MICITT (Ministerio de Ciencia, Innovación, Tecnología y Telecomunicaciones)",rd_ministry,missing,Raw rows contain only noisy salary / generic classification / non-institutional transfer hits for this agency-year; no defendable institutional amount found in the original source.,no,,,reextract,,,6753000922.0
Costa Rica,2012,"MICITT (Ministerio de Ciencia, Innovación, Tecnología y Telecomunicaciones)",rd_ministry,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,,6753000922.0
Costa Rica,2017,"MICITT (Ministerio de Ciencia, Innovación, Tecnología y Telecomunicaciones)",rd_ministry,ok,,,,,none,6753000922.0,,5205572746.0
Costa Rica,2018,"MICITT (Ministerio de Ciencia, Innovación, Tecnología y Telecomunicaciones)",rd_ministry,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,6753000922.0,5205572746.0
Costa Rica,2019,"MICITT (Ministerio de Ciencia, Innovación, Tecnología y Telecomunicaciones)",rd_ministry,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,6753000922.0,5205572746.0
Costa Rica,2020,"MICITT (Ministerio de Ciencia, Innovación, Tecnología y Telecomunicaciones)",rd_ministry,missing,Raw rows contain only noisy salary / generic classification / non-institutional transfer hits for this agency-year; no defendable institutional amount found in the original source.,no,,,reextract,,6753000922.0,5205572746.0
Costa Rica,2021,"MICITT (Ministerio de Ciencia, Innovación, Tecnología y Telecomunicaciones)",rd_ministry,ok,,,,,none,5205572746.0,6753000922.0,8789530987.0
Costa Rica,2022,"MICITT (Ministerio de Ciencia, Innovación, Tecnología y Telecomunicaciones)",rd_ministry,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,5205572746.0,8789530987.0
Costa Rica,2023,"MICITT (Ministerio de Ciencia, Innovación, Tecnología y Telecomunicaciones)",rd_ministry,missing,Raw rows contain only noisy salary / generic classification / non-institutional transfer hits for this agency-year; no defendable institutional amount found in the original source.,no,,,reextract,,5205572746.0,8789530987.0
Costa Rica,2024,"MICITT (Ministerio de Ciencia, Innovación, Tecnología y Telecomunicaciones)",rd_ministry,ok,,,,,none,8789530987.0,5205572746.0,7890373607.0
Costa Rica,2025,"MICITT (Ministerio de Ciencia, Innovación, Tecnología y Telecomunicaciones)",rd_ministry,ok,,,,,none,7890373607.0,8789530987.0,
Costa Rica,2010,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),science_agency,ok,,,,,none,650000000.0,,876300000.0
Costa Rica,2012,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),science_agency,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,650000000.0,876300000.0
Costa Rica,2013,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),science_agency,ok,,,,,none,876300000.0,650000000.0,642232000.0
Costa Rica,2014,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),science_agency,ok,,,,,none,642232000.0,876300000.0,100000000.0
Costa Rica,2016,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),science_agency,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,642232000.0,100000000.0
Costa Rica,2017,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),science_agency,ok,,,,,none,100000000.0,642232000.0,50000000.0
Costa Rica,2018,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),science_agency,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,100000000.0,50000000.0
Costa Rica,2019,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),science_agency,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,100000000.0,50000000.0
Costa Rica,2020,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),science_agency,ok,,,,,none,50000000.0,100000000.0,50000000.0
Costa Rica,2021,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),science_agency,ok,,,,,none,50000000.0,50000000.0,
Costa Rica,2022,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),science_agency,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,50000000.0,
Costa Rica,2015,Promotora Costarricense de Innovación e Investigación (PCII),science_agency,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,,9500000.0
Costa Rica,2016,Promotora Costarricense de Innovación e Investigación (PCII),science_agency,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,,9500000.0
Costa Rica,2017,Promotora Costarricense de Innovación e Investigación (PCII),science_agency,missing,Year has 6 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,,9500000.0
Costa Rica,2018,Promotora Costarricense de Innovación e Investigación (PCII),science_agency,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,,9500000.0
Costa Rica,2019,Promotora Costarricense de Innovación e Investigación (PCII),science_agency,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,,9500000.0
Costa Rica,2020,Promotora Costarricense de Innovación e Investigación (PCII),science_agency,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,,9500000.0
Costa Rica,2021,Promotora Costarricense de Innovación e Investigación (PCII),science_agency,missing,Raw rows contain only noisy salary / generic classification / non-institutional transfer hits for this agency-year; no defendable institutional amount found in the original source.,no,,,reextract,,,9500000.0
Costa Rica,2022,Promotora Costarricense de Innovación e Investigación (PCII),science_agency,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,,9500000.0
Costa Rica,2023,Promotora Costarricense de Innovación e Investigación (PCII),science_agency,ok,,,,,none,9500000.0,,8100000.0
Costa Rica,2024,Promotora Costarricense de Innovación e Investigación (PCII),science_agency,ok,,,,,none,8100000.0,9500000.0,8500000.0
Costa Rica,2025,Promotora Costarricense de Innovación e Investigación (PCII),science_agency,ok,,,,,none,8500000.0,8100000.0,
Costa Rica,2010,UCR (Universidad de Costa Rica),higher_education,ok,,,,,none,13100000.0,,200000000.0
Costa Rica,2011,UCR (Universidad de Costa Rica),higher_education,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,13100000.0,200000000.0
Costa Rica,2012,UCR (Universidad de Costa Rica),higher_education,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,13100000.0,200000000.0
Costa Rica,2013,UCR (Universidad de Costa Rica),higher_education,ok,,,,,none,200000000.0,13100000.0,200000000.0
Costa Rica,2014,UCR (Universidad de Costa Rica),higher_education,ok,,,,,none,200000000.0,200000000.0,15500000.0
Costa Rica,2015,UCR (Universidad de Costa Rica),higher_education,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,200000000.0,15500000.0
Costa Rica,2016,UCR (Universidad de Costa Rica),higher_education,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,200000000.0,15500000.0
Costa Rica,2017,UCR (Universidad de Costa Rica),higher_education,ok,,,,,none,15500000.0,200000000.0,16200000.0
Costa Rica,2018,UCR (Universidad de Costa Rica),higher_education,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,15500000.0,16200000.0
Costa Rica,2019,UCR (Universidad de Costa Rica),higher_education,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,15500000.0,16200000.0
Costa Rica,2020,UCR (Universidad de Costa Rica),higher_education,ok,,,,,none,16200000.0,15500000.0,16200000.0
Costa Rica,2021,UCR (Universidad de Costa Rica),higher_education,ok,,,,,none,16200000.0,16200000.0,16200000.0
Costa Rica,2022,UCR (Universidad de Costa Rica),higher_education,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,16200000.0,16200000.0
Costa Rica,2023,UCR (Universidad de Costa Rica),higher_education,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,16200000.0,16200000.0
Costa Rica,2024,UCR (Universidad de Costa Rica),higher_education,ok,,,,,none,16200000.0,16200000.0,900000000.0
Costa Rica,2025,UCR (Universidad de Costa Rica),higher_education,ok,,,,,none,900000000.0,16200000.0,
Costa Rica,2010,ITCR / TEC (Instituto Tecnológico de Costa Rica),higher_education,missing,Raw rows contain only noisy salary / generic classification / non-institutional transfer hits for this agency-year; no defendable institutional amount found in the original source.,no,,,reextract,,,144644590.0
Costa Rica,2011,ITCR / TEC (Instituto Tecnológico de Costa Rica),higher_education,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,,144644590.0
Costa Rica,2012,ITCR / TEC (Instituto Tecnológico de Costa Rica),higher_education,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,,144644590.0
Costa Rica,2013,ITCR / TEC (Instituto Tecnológico de Costa Rica),higher_education,missing,Raw rows contain only noisy salary / generic classification / non-institutional transfer hits for this agency-year; no defendable institutional amount found in the original source.,no,,,reextract,,,144644590.0
Costa Rica,2014,ITCR / TEC (Instituto Tecnológico de Costa Rica),higher_education,missing,Year has 6 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,,144644590.0
Costa Rica,2015,ITCR / TEC (Instituto Tecnológico de Costa Rica),higher_education,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,,144644590.0
Costa Rica,2016,ITCR / TEC (Instituto Tecnológico de Costa Rica),higher_education,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,,144644590.0
Costa Rica,2017,ITCR / TEC (Instituto Tecnológico de Costa Rica),higher_education,ok,,,,,none,144644590.0,,2571517906.0
Costa Rica,2018,ITCR / TEC (Instituto Tecnológico de Costa Rica),higher_education,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,144644590.0,2571517906.0
Costa Rica,2019,ITCR / TEC (Instituto Tecnológico de Costa Rica),higher_education,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,144644590.0,2571517906.0
Costa Rica,2020,ITCR / TEC (Instituto Tecnológico de Costa Rica),higher_education,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,144644590.0,2571517906.0
Costa Rica,2021,ITCR / TEC (Instituto Tecnológico de Costa Rica),higher_education,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,144644590.0,2571517906.0
Costa Rica,2022,ITCR / TEC (Instituto Tecnológico de Costa Rica),higher_education,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,144644590.0,2571517906.0
Costa Rica,2023,ITCR / TEC (Instituto Tecnológico de Costa Rica),higher_education,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,144644590.0,2571517906.0
Costa Rica,2024,ITCR / TEC (Instituto Tecnológico de Costa Rica),higher_education,ok,,,,,none,2571517906.0,144644590.0,
Costa Rica,2025,ITCR / TEC (Instituto Tecnológico de Costa Rica),higher_education,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,2571517906.0,
Costa Rica,2010,FEES (Fondo Especial de Educación Superior),higher_education,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,,
Costa Rica,2011,FEES (Fondo Especial de Educación Superior),higher_education,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,,
Costa Rica,2012,FEES (Fondo Especial de Educación Superior),higher_education,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,,
Costa Rica,2013,FEES (Fondo Especial de Educación Superior),higher_education,missing,Year has 8 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,,
Costa Rica,2014,FEES (Fondo Especial de Educación Superior),higher_education,missing,Year has 6 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,,
Costa Rica,2015,FEES (Fondo Especial de Educación Superior),higher_education,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,,
Costa Rica,2016,FEES (Fondo Especial de Educación Superior),higher_education,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,,
Costa Rica,2017,FEES (Fondo Especial de Educación Superior),higher_education,missing,Year has 6 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,,
Costa Rica,2018,FEES (Fondo Especial de Educación Superior),higher_education,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,,
Costa Rica,2019,FEES (Fondo Especial de Educación Superior),higher_education,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,,
Costa Rica,2020,FEES (Fondo Especial de Educación Superior),higher_education,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,,
Costa Rica,2021,FEES (Fondo Especial de Educación Superior),higher_education,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,,
Costa Rica,2022,FEES (Fondo Especial de Educación Superior),higher_education,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,,
Costa Rica,2023,FEES (Fondo Especial de Educación Superior),higher_education,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,,
Costa Rica,2024,FEES (Fondo Especial de Educación Superior),higher_education,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,,
Costa Rica,2025,FEES (Fondo Especial de Educación Superior),higher_education,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,,
Costa Rica,2010,INTA (Instituto Nacional de Innovación y Transferencia en Tecnología Agropecuaria),science_agency,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,,12387747000.0
Costa Rica,2011,INTA (Instituto Nacional de Innovación y Transferencia en Tecnología Agropecuaria),science_agency,ok,,,,,none,12387747000.0,,8017749854.0
Costa Rica,2012,INTA (Instituto Nacional de Innovación y Transferencia en Tecnología Agropecuaria),science_agency,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,12387747000.0,8017749854.0
Costa Rica,2013,INTA (Instituto Nacional de Innovación y Transferencia en Tecnología Agropecuaria),science_agency,ok,,,,,none,8017749854.0,12387747000.0,383160000.0
Costa Rica,2015,INTA (Instituto Nacional de Innovación y Transferencia en Tecnología Agropecuaria),science_agency,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,8017749854.0,383160000.0
Costa Rica,2016,INTA (Instituto Nacional de Innovación y Transferencia en Tecnología Agropecuaria),science_agency,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,8017749854.0,383160000.0
Costa Rica,2018,INTA (Instituto Nacional de Innovación y Transferencia en Tecnología Agropecuaria),science_agency,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,8017749854.0,383160000.0
Costa Rica,2019,INTA (Instituto Nacional de Innovación y Transferencia en Tecnología Agropecuaria),science_agency,missing,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,8017749854.0,383160000.0
Costa Rica,2020,INTA (Instituto Nacional de Innovación y Transferencia en Tecnología Agropecuaria),science_agency,ok,,,,,none,383160000.0,8017749854.0,4629768709.0
Costa Rica,2021,INTA (Instituto Nacional de Innovación y Transferencia en Tecnología Agropecuaria),science_agency,ok,,,,,none,4629768709.0,383160000.0,341088731.0
