country,year,issue_type,issue_label,missing_agency_years,outlier_agency_years,actions,gap_subtypes,agencies,run_docs_for_year,zero_row_docs_for_year,queue_source_files,run_source_files,diagnosis_excerpt,criticality_rank,criticality_score,severity
Austria,1976,general_reextract_needed,Needs targeted re-extraction,12,0,reextract,,BMBWF / Einzelplan 13 / UG 31 (total) | ESA-Beitrag (Austria) | FFG (Forschungsfoerderungsgesellschaft) | Johannes Kepler Universitat Linz (JKU) | Ludwig Boltzmann Gesellschaft | Technische Universitat Graz (TU Graz),1,0,1976_Austria.pdf,1976_Austria.pdf,Year not in raw_rows — documents may not be parsed yet,1,1031.0,critical
Austria,1977,general_reextract_needed,Needs targeted re-extraction,15,0,reextract,,BMBWF / Einzelplan 13 / UG 31 (total) | CERN-Beitrag (Austria) | ESA-Beitrag (Austria) | FFG (Forschungsfoerderungsgesellschaft) | FWF (Fonds zur Forderung der wissenschaftlichen Forschung) | Johannes Kepler Universitat Linz (JKU),1,0,1977_Austria.pdf,1977_Austria.pdf,Year not in raw_rows — documents may not be parsed yet,1,1031.0,critical
Austria,1978,general_reextract_needed,Needs targeted re-extraction,14,0,reextract,,BMBWF / Einzelplan 13 / UG 31 (total) | CERN-Beitrag (Austria) | ESA-Beitrag (Austria) | FFG (Forschungsfoerderungsgesellschaft) | FWF (Fonds zur Forderung der wissenschaftlichen Forschung) | Johannes Kepler Universitat Linz (JKU),1,0,1978_Austria.pdf,1978_Austria.pdf,Year not in raw_rows — documents may not be parsed yet,1,1031.0,critical
Austria,1979,general_reextract_needed,Needs targeted re-extraction,15,0,reextract,,BMBWF / Einzelplan 13 / UG 31 (total) | CERN-Beitrag (Austria) | ESA-Beitrag (Austria) | FFG (Forschungsfoerderungsgesellschaft) | FWF (Fonds zur Forderung der wissenschaftlichen Forschung) | Johannes Kepler Universitat Linz (JKU),1,0,1979_Austria.pdf,1979_Austria.pdf,Year not in raw_rows — documents may not be parsed yet,1,1031.0,critical
Austria,1980,general_reextract_needed,Needs targeted re-extraction,15,0,reextract,,BMBWF / Einzelplan 13 / UG 31 (total) | CERN-Beitrag (Austria) | ESA-Beitrag (Austria) | FFG (Forschungsfoerderungsgesellschaft) | FWF (Fonds zur Forderung der wissenschaftlichen Forschung) | Johannes Kepler Universitat Linz (JKU),1,0,1980_Austria.pdf,1980_Austria.pdf,Year not in raw_rows — documents may not be parsed yet,1,1031.0,critical
Austria,1981,general_reextract_needed,Needs targeted re-extraction,14,0,reextract,,BMBWF / Einzelplan 13 / UG 31 (total) | CERN-Beitrag (Austria) | ESA-Beitrag (Austria) | FFG (Forschungsfoerderungsgesellschaft) | FWF (Fonds zur Forderung der wissenschaftlichen Forschung) | Johannes Kepler Universitat Linz (JKU),1,0,1981_Austria.pdf,1981_Austria.pdf,Year not in raw_rows — documents may not be parsed yet,1,1031.0,critical
Austria,1982,general_reextract_needed,Needs targeted re-extraction,15,0,reextract,,BMBWF / Einzelplan 13 / UG 31 (total) | CERN-Beitrag (Austria) | ESA-Beitrag (Austria) | FFG (Forschungsfoerderungsgesellschaft) | FWF (Fonds zur Forderung der wissenschaftlichen Forschung) | Johannes Kepler Universitat Linz (JKU),1,0,1982_Austria.pdf,1982_Austria.pdf,Year not in raw_rows — documents may not be parsed yet,1,1031.0,critical
Austria,1983,general_reextract_needed,Needs targeted re-extraction,13,0,reextract,,BMBWF / Einzelplan 13 / UG 31 (total) | CERN-Beitrag (Austria) | ESA-Beitrag (Austria) | Johannes Kepler Universitat Linz (JKU) | Ludwig Boltzmann Gesellschaft | Technische Universitat Graz (TU Graz),1,0,1983_Austria.pdf,1983_Austria.pdf,Year not in raw_rows — documents may not be parsed yet,1,1031.0,critical
Austria,1984,general_reextract_needed,Needs targeted re-extraction,10,0,reextract,,BMBWF / Einzelplan 13 / UG 31 (total) | ESA-Beitrag (Austria) | Johannes Kepler Universitat Linz (JKU) | Technische Universitat Graz (TU Graz) | Technische Universitat Wien (TU Wien) | Universitat Graz (Karl-Franzens),1,0,1984_Austria.pdf,1984_Austria.pdf,Year not in raw_rows — documents may not be parsed yet,1,1031.0,critical
Austria,1985,general_reextract_needed,Needs targeted re-extraction,12,0,reextract,,BMBWF / Einzelplan 13 / UG 31 (total) | CERN-Beitrag (Austria) | ESA-Beitrag (Austria) | Johannes Kepler Universitat Linz (JKU) | Ludwig Boltzmann Gesellschaft | Technische Universitat Graz (TU Graz),1,0,1985_Austria.pdf,1985_Austria.pdf,Year not in raw_rows — documents may not be parsed yet,1,1031.0,critical
