country,problem_years,missing_agency_years,outlier_agency_years,missing_years,outlier_years,documented_not_comparable,reextract_cases,verify_cases,raw_rows_found_not_classified,run_docs,zero_row_docs,zero_row_years,missing_years_with_run_logs,missing_years_with_zero_row_docs,missing_years_without_run_logs,zero_row_doc_share,missing_year_ranges,outlier_year_ranges,currencies_seen,document_change_signal,aggregate_source_signal,ocr_signal,unsupported_format_signal,currency_or_unit_break_signal,source_inventory_gap_signal,primary_issue_type,primary_issue_label,note_excerpt,note_path,criticality_score,severity,criticality_rank
Germany,52,10152,0,52,0,0,10104,0,48,113,10,8,52,8,0,0.0885,"1955, 1975-2025",,EUR,False,False,False,False,False,False,parsed_but_zero_rows,Document ran but returned zero rows,,,10576.0,critical,1
Denmark,50,5555,10,50,8,0,5447,10,108,51,1,1,50,1,0,0.0196,"1975-2001, 2003-2025","1978-1979, 1982, 2003, 2005-2007, 2014",DKK,False,False,False,False,False,False,parsed_but_zero_rows,Document ran but returned zero rows,,,6025.5,critical,2
Australia,52,928,9,52,8,0,907,9,21,397,157,34,52,34,0,0.3955,1975-2026,"1984, 1993, 1997-1999, 2024-2026",AUD,False,False,False,False,False,False,parsed_but_zero_rows,Document ran but returned zero rows,,,1444.65,critical,3
Austria,50,731,0,50,0,0,731,0,0,52,2,2,50,0,0,0.0385,"1976-1986, 1988-2026",,"ATS, EUR",False,False,False,False,True,False,general_reextract_needed,Needs targeted re-extraction,,,1031.0,critical,4
UK,30,782,0,30,0,0,782,0,0,53,18,18,30,2,0,0.3396,"1982, 1987, 1989, 1993-1996, 1998-1999, 2003-2018, 2020-2021, 2023-2025",,GBP,False,False,False,False,False,False,parsed_but_zero_rows,Document ran but returned zero rows,,,972.0,critical,5
Netherlands,51,474,3,51,3,0,474,3,0,170,76,26,51,26,0,0.4471,1975-2025,"1989, 2016, 2018","EUR, NLG",True,True,False,False,True,False,document_changed_or_not_comparable,Document changed / not comparable,"Netherlands has a structural comparability break between the pre-2002 single-file `Miljoenennota` budgets and the 2002+ per-ministry `Rijksbegroting` files. | For many years, `ministry8` exposes only the aggregate `OCW Art. 16 Onderzoek en wetenschapsbeleid` total. That total bundles NWO, KNAW, and related appropriations, so agency-level backfilling for NWO/KNAW would require an audited split that is not present in the current files.",Data/input/finance_bills/Netherlands/QUALITY_NOTE.md,911.05,critical,6
Sweden,44,624,62,44,22,0,624,62,0,49,2,2,44,0,0,0.0408,"1975, 1980-1995, 1997-2005, 2007, 2009-2025","1980-1983, 1985-1995, 1998, 2002, 2016-2017, 2019, 2022, 2024",SEK,False,False,False,False,False,False,outlier_or_unit_break,Outlier or unit/currency break,,,909.7,critical,7
Iceland,50,197,9,50,9,0,194,9,3,94,0,0,50,0,0,0.0,"1975-1989, 1991-2025","1977, 1988, 2015-2020, 2025",ISK,False,False,False,False,True,False,outlier_or_unit_break,Outlier or unit/currency break,"Annual finance laws / budget acts in PDF | Long historical run, often one file per year",Data/input/finance_bills/Iceland/SOURCE_NOTES.md,504.65,critical,8
Norway,52,0,792,0,52,0,0,792,0,52,0,0,0,0,0,0.0,,1975-2026,,False,False,False,False,False,False,outlier_or_unit_break,Outlier or unit/currency break,,,381.2,high,9
Colombia,21,125,0,21,0,0,110,0,8,35,20,20,21,16,0,0.5714,"1996-1998, 2002-2005, 2007, 2012-2014, 2016-2025",,,True,False,False,False,True,True,document_changed_or_not_comparable,Document changed / not comparable,"Colombia is a mixed-quality source family. | The current source inventory supports a defendable final series, but not a continuous year-by-year panel.",Data/input/finance_bills/Colombia/SOURCE_NOTES.md,343.0,high,10
Slovakia,32,144,1,32,1,0,144,1,0,37,2,2,32,0,0,0.0541,"1992-2022, 2025",2025,"EUR, SKK",False,False,False,False,True,False,outlier_or_unit_break,Outlier or unit/currency break,,,336.35,high,11
