canonical_name,category,name_variants,preferred_item_type,active_years,notes,agency_type,confidence,source_entity,n_years_seen,avg_amount,reason,country
Grants for Research and Development,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",Grants are often used to fund R&D projects.,rd_programme,0.7,Grants,1,7360898200.0,confidence below threshold,Denmark
Support for Researcher Academy Activities,higher_education,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)","This support is aimed at enhancing research activities, indicating R&D relevance.",rd_programme,0.7,Support for activities under the researcher academy,1,78570000.0,confidence below threshold,Denmark
Grants to Institutions,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",Grants to institutions can support various R&D activities.,rd_fund,0.7,"Grants to institutions, etc.",1,27240000.0,confidence below threshold,Denmark
Danish Polar Center,science_agency,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)","This center is likely involved in polar research, indicating R&D relevance.",dedicated_rd_agency,0.7,Danish Polar Center,2,3629300.0,confidence below threshold,Denmark
Training of Nuclear Scientists,higher_education,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)","This program supports the training of scientists, relevant to R&D.",rd_programme,0.7,Training of nuclear scientists in Denmark,1,2600000.0,confidence below threshold,Denmark
Travel Support for Teachers and Scientists,higher_education,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",This support facilitates research activities for educators and scientists.,rd_programme,0.6,Travel support for teachers and scientists,1,2288000.0,confidence below threshold,Denmark
Technology Assessment Projects,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)","These projects assess technologies, contributing to R&D insights.",rd_programme,0.7,"Technology assessment projects, etc.",1,1400000.0,confidence below threshold,Denmark
Technology Assessment Projects,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)","These projects assess technologies, contributing to R&D insights.",rd_programme,0.7,"Technology Assessment Projects, etc.",1,650000.0,confidence below threshold,Denmark
Royal Veterinary and Agricultural University,higher_education,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",This university conducts significant research in veterinary and agricultural sciences.,higher_education,0.7,Royal Veterinary and Agricultural University,2,501250.0,confidence below threshold,Denmark
Space Area Funding,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",This funding is likely aimed at R&D in the space area.,rd_programme,0.7,Space area (text note 157),1,244800.0,confidence below threshold,Denmark
Scientific Investigations,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",This entry suggests funding for scientific research activities.,rd_programme,0.6,Scientific investigations,1,42166.0,confidence below threshold,Denmark
Training of Scientists,higher_education,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)","This program supports the education of scientists, relevant to R&D.",rd_programme,0.7,Uddannelse af videnskabsmænd,2,5500.0,confidence below threshold,Denmark
Center for Language Technology,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",This center supports research in language technology.,rd_programme,0.7,Center for Language Technology,1,3600.0,confidence below threshold,Denmark
Danish Pharmaceutical University,higher_education,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",This university is involved in pharmaceutical research and education.,higher_education,0.7,Danish Pharmaceutical University,1,3500.0,confidence below threshold,Denmark
Research Activities,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",This entry indicates support for various research activities.,rd_programme,0.6,"Research activities, etc.",1,2824.7,confidence below threshold,Denmark
Supporting Activities in the Space Area,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",This reservation appropriation is likely aimed at supporting R&D in the space area.,rd_programme,0.7,Supporting activities in the space area (text note 7) (Reservation appropriation),1,1900.0,confidence below threshold,Denmark
Reserve for Research Expense Deductions,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)","This reserve is intended to support research expenses, indicating R&D relevance.",rd_fund,0.6,Reserve regarding deductions for certain research expenses,1,1200.0,confidence below threshold,Denmark
