country,year,report_fixable,report_category,report_tried,report_conclusion,report_source_files,current_gap_report_has_gap,current_gap_report_actions,current_gap_report_canonicals,current_gap_report_row_count,review_table_issue_labels,review_table_actions,review_table_diagnosis,review_table_row_count,suggested_status,review_basis
Australia,2000,Potentially,Source docs available — extraction coverage gap,Australia has 2 gaps. 368 files in corpus. ARC (Australian Research Council) and NHMRC key agencies. Source docs exist.,POTENTIALLY FIXABLE — Source docs exist in corpus.,2000 No3 C2004A00629.docx | 2000 No4 C2004A00630.docx | 2000 DEPT C2004A00439.docx | 2000 No2 C2011C00102.docx | 2000 No1 C2008C00464.docx,Yes,document_limitation | reextract,ANSTO / Atomic Energy Commission | Assistance for Antivenom Provision | Australian Centre for International Agricultural Research | Australian Industry Assistance | Australian Institute of Marine Science (AIMS) | Australian National University Expenditure | Australian National University Operating Expenses | Australian National University Recurrent Expenditure,26,,,,0,No,"Direct inspection of the available 2000 Australia .docx files found no CSIRO, ARC, NHMRC, ANSTO, or AIMS hits; the local source set looks like appropriation acts/supplementary volumes rather than the needed science portfolio detail."
Australia,2001,Potentially,Source docs available — extraction coverage gap,Australia has 2 gaps. 368 files in corpus. ARC (Australian Research Council) and NHMRC key agencies. Source docs exist.,POTENTIALLY FIXABLE — Source docs exist in corpus.,2001 DEPT C2004A00786.docx | 2001 No4-3 C2004A00788VOL03.docx | 2001 No3 C2004A00787.docx | 2001 No4-1 C2004A00788VOL01.docx | 2001 No1 C2008C00481.docx,Yes,document_limitation | reextract,ANSTO / Atomic Energy Commission | Assistance for Antivenom Provision | Australian Centre for International Agricultural Research | Australian Industry Assistance | Australian Institute of Marine Science (AIMS) | Australian National University Expenditure | Australian National University Operating Expenses | Australian National University Recurrent Expenditure,26,,,,0,No,"Direct inspection of the available 2001 Australia .docx files found no CSIRO, ARC, NHMRC, ANSTO, or AIMS hits; the local source set looks like appropriation acts/supplementary volumes rather than the needed science portfolio detail."
Austria,1987,Potentially,Source doc available — single isolated gap,Austria has 1 gap (1987). 94 files in corpus. FWF and FFG key agencies. Source doc likely exists.,"POTENTIALLY FIXABLE — Source doc likely in corpus, needs re-extraction.",1987_Austria.pdf | 1987 imfname_263674.pdf | 1987_Austria.pdf,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
Belgium,2003,No,No source document found for gap year,Belgium has 1 gap (2003). 34 files in corpus. No document matching 2003 found. Note: Belgium 2008 had separate issue where all extracted amounts were empty.,NOT FIXABLE — source document for 2003 not in corpus.,,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
Canada,2004,No,No source documents found for gap years,Canada has 2 gaps. 134 files in corpus but no documents matching 2004 or 2005 found.,NOT FIXABLE without source documents.,,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
Canada,2005,No,No source documents found for gap years,Canada has 2 gaps. 134 files in corpus but no documents matching 2004 or 2005 found.,NOT FIXABLE without source documents.,,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
Colombia,2003,Potentially,Extraction gaps in covered period,Colombia has 8 gaps. 41 files in corpus. Colciencias (now MinCiencias) key R&D agency. Source docs likely exist for gap years.,POTENTIALLY FIXABLE — Source docs likely available.,2004 Ley_848_de_2003.pdf | 2003 LEY 780 DE 2002.pdf | 2004 Ley_848_de_2003.pdf | 2003 LEY 780 DE 2002.pdf,Yes,reextract,"AGROSAVIA / CORPOICA (agricultural research) | COLCIENCIAS (Departamento Administrativo de Ciencia, Tecnología e Innovación) | Fondo Francisco José de Caldas | ICA (Instituto Colombiano Agropecuario) | IDEAM (Instituto de Hidrología, Meteorología y Estudios Ambientales) | Instituto Nacional de Salud (Colombia) | SENA — R&D and Innovation (Servicio Nacional de Aprendizaje)",7,,,,0,No,Colombia source notes and direct PDF inspection show the 2003 Ley 780 de 2002 file behaves like weak wrapper/legal text and does not preserve a usable institutional annex.
Colombia,2006,Potentially,Extraction gaps in covered period,Colombia has 8 gaps. 41 files in corpus. Colciencias (now MinCiencias) key R&D agency. Source docs likely exist for gap years.,POTENTIALLY FIXABLE — Source docs likely available.,2007 Ley_1110_de_2006.pdf | 2006 Ley_998_de_2005.pdf | 2007 Ley_1110_de_2006.pdf | 2006 Ley_998_de_2005.pdf,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
Colombia,2007,Potentially,Extraction gaps in covered period,Colombia has 8 gaps. 41 files in corpus. Colciencias (now MinCiencias) key R&D agency. Source docs likely exist for gap years.,POTENTIALLY FIXABLE — Source docs likely available.,2007 Ley_1110_de_2006.pdf | 2007 Ley_1110_de_2006.pdf,Yes,none,"AGROSAVIA / CORPOICA (agricultural research) | COLCIENCIAS (Departamento Administrativo de Ciencia, Tecnología e Innovación) | Fondo Francisco José de Caldas | ICA (Instituto Colombiano Agropecuario) | IDEAM (Instituto de Hidrología, Meteorología y Estudios Ambientales) | Instituto Nacional de Salud (Colombia) | SENA — R&D and Innovation (Servicio Nacional de Aprendizaje)",7,,,,0,No,Colombia source notes and direct PDF inspection show the 2007 Ley 1110 de 2006 source only preserves SENA-to-COLCIENCIAS transfer language without a traceable institutional appropriation amount.
Colombia,2008,Potentially,Extraction gaps in covered period,Colombia has 8 gaps. 41 files in corpus. Colciencias (now MinCiencias) key R&D agency. Source docs likely exist for gap years.,POTENTIALLY FIXABLE — Source docs likely available.,2020 Ley_2008_de_2019_Ministerio_de_Hacienda_y_Crédito_Público.pdf | 2009 Ley_1260_de_2008.pdf | 2020 Ley_2008_de_2019_Ministerio_de_Hacienda_y_Crédito_Público.pdf | 2009 Ley_1260_de_2008.pdf,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
