country,year,canonical_name,category,amount_local,unit,currency,item_type,line_description_en,source_file,page_number,series_notes,review_row_id,applied_to_combined_database
Australia,1995,NHMRC / Medical Research Fund,science_agency,145004000.0,dollar,AUD,verified_override,National Health and Medical Research Council,1995 No1 C1994A00088.docx,48.0,"accepted from llm budget review queue after original-source check; Health research line in the 1995 appropriation table shows current-year amount 145,004,000; prior-year 138,020,000 should not be used.",b8a0e842e1490312,True
Australia,1995,CSIRO,science_agency,424034000.0,dollar,AUD,verified_override,Commonwealth Scientific and Industrial Research Organisation,1995 No1 C1994A00088.docx,58.0,"accepted from llm budget review queue after original-source check; Industry portfolio summary table lists CSIRO total at 424,034,000 for the current year.",33039e55d82030cb,True
Australia,1995,Australian Institute of Marine Science (AIMS),science_agency,16268000.0,dollar,AUD,verified_override,Australian Institute of Marine Science,1995 No1 C1994A00088.docx,61.0,"accepted from llm budget review queue after original-source check; Industry portfolio summary table lists Australian Institute of Marine Science total at 16,268,000 for the current year.",acfde654a7a5fd8a,True
Australia,1995,ANSTO / Atomic Energy Commission,science_agency,49727000.0,dollar,AUD,verified_override,Australian Nuclear Science and Technology Organisation,1995 No1 C1994A00088.docx,61.0,"accepted from llm budget review queue after original-source check; Industry portfolio summary table lists ANSTO total at 49,727,000 for the current year.",e39134681ca97f52,True
Australia,1996,NHMRC / Medical Research Fund,science_agency,144856000.0,dollar,AUD,verified_override,National Health and Medical Research Council,1996 No1 C1995A00060.docx,48.0,"accepted from llm budget review queue after original-source check; Health research line in the 1996 appropriation table shows 159,192,000 / 145,056,000 / 144,856,000; accepted the defendable annual figure carried by the final queue row.",19d692ac26370438,True
Australia,1996,Australian Institute of Marine Science (AIMS),science_agency,16604000.0,dollar,AUD,verified_override,Australian Institute of Marine Science,1996 No1 C1995A00060.docx,61.0,"accepted from llm budget review queue after original-source check; Industry portfolio summary table lists Australian Institute of Marine Science total at 16,604,000 for the current year.",2b0d7321f3683f88,True
Australia,1996,ANSTO / Atomic Energy Commission,science_agency,49777000.0,dollar,AUD,verified_override,Australian Nuclear Science and Technology Organisation,1996 No1 C1995A00060.docx,61.0,"accepted from llm budget review queue after original-source check; Industry portfolio summary table lists ANSTO total at 49,777,000 for the current year.",61a9151ad1b4d338,True
Australia,1996,CSIRO,science_agency,391997000.0,dollar,AUD,verified_override,Commonwealth Scientific and Industrial Research Organisation,1996 No1 C1995A00060.docx,61.0,"accepted from llm budget review queue after original-source check; Industry portfolio summary table lists CSIRO total at 391,997,000 for the current year.",618a2dd37696517a,True
Australia,1997,NHMRC / Medical Research Fund,science_agency,159251090.0,dollar,AUD,verified_override,National Health and Medical Research Council,1997 No1 C1996A00065.docx,54.0,"accepted from llm budget review queue after original-source check; Health research line in the 1997 appropriation table explicitly carries 159,251,090 on the current-year row.",c1e30bc168d3b18c,True
Australia,1997,Australian Institute of Marine Science (AIMS),science_agency,16445000.0,dollar,AUD,verified_override,Australian Institute of Marine Science,1997 No1 C1996A00065.docx,67.0,"accepted from llm budget review queue after original-source check; Industry portfolio summary table lists Australian Institute of Marine Science total at 16,445,000 for the current year.",2fe7d2ddaa46c391,True
Australia,1997,ANSTO / Atomic Energy Commission,science_agency,47431000.0,dollar,AUD,verified_override,Australian Nuclear Science and Technology Organisation,1997 No1 C1996A00065.docx,67.0,"accepted from llm budget review queue after original-source check; Industry portfolio summary table lists ANSTO total at 47,431,000 for the current year.",fe4b72df8326e22c,True
Australia,1997,CSIRO,science_agency,417102000.0,dollar,AUD,verified_override,Commonwealth Scientific and Industrial Research Organisation,1997 No1 C1996A00065.docx,68.0,"accepted from llm budget review queue after original-source check; Industry portfolio summary table lists CSIRO total at 417,102,000 for the current year.",f7911ccd72104f6b,True
Australia,1998,NHMRC / Medical Research Fund,science_agency,156439000.0,dollar,AUD,verified_override,National Health and Medical Research Council,1998 No1 C1997A00089.docx,49.0,"accepted from llm budget review queue after original-source check; Health research line in the 1998 appropriation table shows current-year amount 156,439,000; the 168,420,000 figure is the prior-year comparator.",de4a07a9faddedfd,True
Australia,1998,Australian Institute of Marine Science (AIMS),science_agency,16388000.0,dollar,AUD,verified_override,Australian Institute of Marine Science,1998 No1 C1997A00089.docx,62.0,"accepted from llm budget review queue after original-source check; Industry portfolio summary table lists Australian Institute of Marine Science total at 16,388,000 for the current year.",86e59a3bab961bbd,True
Australia,1998,ANSTO / Atomic Energy Commission,science_agency,53950000.0,dollar,AUD,verified_override,Australian Nuclear Science and Technology Organisation,1998 No1 C1997A00089.docx,62.0,"accepted from llm budget review queue after original-source check; Industry portfolio summary table lists ANSTO total at 53,950,000 for the current year.",5a350388cdc4ee09,True
Australia,1998,CSIRO,science_agency,439433000.0,dollar,AUD,verified_override,Commonwealth Scientific and Industrial Research Organisation,1998 No1 C1997A00089.docx,63.0,"accepted from llm budget review queue after original-source check; Industry portfolio summary table lists CSIRO total at 439,433,000 for the current year.",092c601435afa36e,True
