country,year,canonical_name,category,amount_local,unit,currency,item_type,line_description_en,source_file,series_notes
Australia,1975,ANSTO / Atomic Energy Commission,science_agency,14345997.0,dollar,AUD,line_item,1.—For expenditure under the Atomic Energy Act—Running expenses,1975 No1 C2004A00152.docx,AAEC renamed ANSTO in 1987.
Australia,1976,ANSTO / Atomic Energy Commission,science_agency,16997725.0,dollar,AUD,line_item,Australian Atomic Energy Commission,1976 No1 C2004A01425.docx,AAEC renamed ANSTO in 1987.
Australia,1977,ANSTO / Atomic Energy Commission,science_agency,18367278.0,dollar,AUD,line_item,Australian Atomic Energy Commission,1977 No1 C2004A01546.docx,AAEC renamed ANSTO in 1987.
Australia,1978,ANSTO / Atomic Energy Commission,science_agency,19536971.0,dollar,AUD,line_item,1.—For expenditure under the Atomic Energy Act—Running expenses,1978 No1 C2004A01777.docx,AAEC renamed ANSTO in 1987.
Australia,1979,ANSTO / Atomic Energy Commission,science_agency,21523036.0,dollar,AUD,line_item,1.—For expenditure under the Atomic Energy Act—Running expenses,1979 No1 C2004A01940.docx,AAEC renamed ANSTO in 1987.
Australia,1980,ANSTO / Atomic Energy Commission,science_agency,22900000.0,dollar,AUD,line_item,1.—For expenditure under the Atomic Energy Act—Running expenses,1980 No3 C2004A02262.docx,AAEC renamed ANSTO in 1987.
Australia,1981,ANSTO / Atomic Energy Commission,science_agency,24768000.0,dollar,AUD,line_item,1.—For expenditure under the Atomic Energy Act 1953— Running expenses,1981 No1 C2004A02342.docx,AAEC renamed ANSTO in 1987.
Australia,1982,ANSTO / Atomic Energy Commission,science_agency,27874000.0,dollar,AUD,line_item,1.—For Expenditure under the Atomic Energy Act 1953—Running expenses,1982 No1 C2004A02541.docx,AAEC renamed ANSTO in 1987.
Australia,1983,ANSTO / Atomic Energy Commission,science_agency,35258500.0,dollar,AUD,line_item,1.—For expenditure under the Atomic Energy Act. 1953— Running expenses,1983 No1 C2004A02675.docx,AAEC renamed ANSTO in 1987.
Australia,1984,ANSTO / Atomic Energy Commission,science_agency,33348000.0,dollar,AUD,line_item,1.—For expenditure under the Atomic Energy Act 1953—Running expenses,1984 No1 C2004A02815.docx,AAEC renamed ANSTO in 1987.
Australia,1985,ANSTO / Atomic Energy Commission,science_agency,35151000.0,dollar,AUD,line_item,1.—For expenditure under the Atomic Energy Act 1953— Running expenses,1985 No1 C2004A03034.docx,AAEC renamed ANSTO in 1987.
Australia,1986,ANSTO / Atomic Energy Commission,science_agency,37527000.0,dollar,AUD,line_item,1.—For expenditure under the Atomic Energy Act 1953— Running expenses,1986 No1 C2004A03177.docx,AAEC renamed ANSTO in 1987.
