country,year,section_code,section_name,section_name_en,program_code,program_description,program_description_en,line_description,line_description_en,budget_type,amount_local,currency,rd_category,pillar,taxonomy_score,decision,confidence,rationale,source_file,page_number,review_status
New Zealand,2015,NZ_SCIENCE,"Research, Science and Innovation appropriations","Research, Science and Innovation appropriations",NZ_SCIENCE_PACKAGE,Summed explicit science and innovation package in appropriation schedule,Summed explicit science and Innovation package in appropriation schedule,Summed explicit science and innovation package in appropriation schedule,Summed explicit science and innovation package in the appropriation schedule,,660739000.0,NZD,direct_rd,Direct R&D,21.0,include,0.8,Sum of explicit science appropriations with recurring science-package labels in the Estimates act.,2015_Appropriation Estimates Act.pdf,7,pending_ai_review
New Zealand,2014,NZ_SCIENCE,"Research, Science and Innovation appropriations","Research, Science and Innovation appropriations",NZ_SCIENCE_PACKAGE,Summed explicit science and innovation package in appropriation schedule,Summed explicit science and Innovation package in appropriation schedule,Summed explicit science and innovation package in appropriation schedule,Summed explicit science and innovation package in the appropriation schedule,,530640000.0,NZD,direct_rd,Direct R&D,21.0,include,0.8,Sum of explicit science appropriations with recurring science-package labels in the Estimates act.,2014_Appropriation Estimates Act.pdf,10,pending_ai_review
New Zealand,2009,NZ_SCIENCE,"Research, Science and Innovation appropriations","Research, Science and Innovation appropriations",NZ_SCIENCE_PACKAGE,Summed explicit science and innovation package in appropriation schedule,Summed explicit science and Innovation package in appropriation schedule,Summed explicit science and innovation package in appropriation schedule,Summed explicit science and innovation package in the appropriation schedule,,278309000.0,NZD,direct_rd,Direct R&D,19.0,include,0.8,Sum of explicit science appropriations with recurring science-package labels in the Estimates act.,2009_Appropriation Estimates Act.pdf,48,pending_ai_review
Canada,2024,CA_RD,"Science, Technology and Innovation","Science, Technology and Innovation",CA_NRC,National Research Council of Canada,National Research Council of Canada,National Research Council of Canada,National Research Council of Canada,,1345144088.0,CAD,direct_rd,Direct R&D,17.5,include,0.9,"Dedicated extractor (Canada); taxonomy_score=17.5; hits=[science, technology and innovation, technology, innovation, science, research council, operating expenditure]",Appropriation Act 2024-25 C74.pdf,24,pending_ai_review
Canada,2023,CA_RD,"Science, Technology and Innovation","Science, Technology and Innovation",CA_NRC,National Research Council of Canada,National Research Council of Canada,National Research Council of Canada,National Research Council of Canada,,1294851014.0,CAD,direct_rd,Direct R&D,17.5,include,0.9,"Dedicated extractor (Canada); taxonomy_score=17.5; hits=[science, technology and innovation, technology, innovation, science, research council, operating expenditure]",Appropriation Act 2023-24 C54.pdf,24,pending_ai_review
Canada,2022,CA_RD,"Science, Technology and Innovation","Science, Technology and Innovation",CA_NRC,National Research Council of Canada,National Research Council of Canada,National Research Council of Canada,National Research Council of Canada,,1186672629.0,CAD,direct_rd,Direct R&D,17.5,include,0.9,"Dedicated extractor (Canada); taxonomy_score=17.5; hits=[science, technology and innovation, technology, innovation, science, research council, operating expenditure]",Appropriation Act 2022-23 C24.pdf,25,pending_ai_review
Canada,2021,CA_RD,"Science, Technology and Innovation","Science, Technology and Innovation",CA_NRC,National Research Council of Canada,National Research Council of Canada,National Research Council of Canada,National Research Council of Canada,,1084788870.0,CAD,direct_rd,Direct R&D,17.5,include,0.9,"Dedicated extractor (Canada); taxonomy_score=17.5; hits=[science, technology and innovation, technology, innovation, science, research council, operating expenditure]",Appropriation Act 2021-22 C33.pdf,24,pending_ai_review
Canada,2020,CA_RD,"Science, Technology and Innovation","Science, Technology and Innovation",CA_NRC,National Research Council of Canada,National Research Council of Canada,National Research Council of Canada,National Research Council of Canada,,972251857.0,CAD,direct_rd,Direct R&D,17.5,include,0.9,"Dedicated extractor (Canada); taxonomy_score=17.5; hits=[science, technology and innovation, technology, innovation, science, research council, operating expenditure]",Appropriation Act 2020-21 C16.pdf,24,pending_ai_review
Canada,2019,CA_RD,"Science, Technology and Innovation","Science, Technology and Innovation",CA_NRC,National Research Council of Canada,National Research Council of Canada,National Research Council of Canada,National Research Council of Canada,,943637993.0,CAD,direct_rd,Direct R&D,17.5,include,0.9,"Dedicated extractor (Canada); taxonomy_score=17.5; hits=[science, technology and innovation, technology, innovation, science, research council, operating expenditure]",Appropriation Act 2019-20 C102.pdf,40,pending_ai_review
Canada,2018,CA_RD,"Science, Technology and Innovation","Science, Technology and Innovation",CA_NRC,National Research Council of Canada,National Research Council of Canada,National Research Council of Canada,National Research Council of Canada,,806761134.0,CAD,direct_rd,Direct R&D,17.5,include,0.9,"Dedicated extractor (Canada); taxonomy_score=17.5; hits=[science, technology and innovation, technology, innovation, science, research council, operating expenditure]",Appropriation Act 2018-19 C80.pdf,23,pending_ai_review
