reform_id,country_code,country_name,survey_year,implementation_year,announcement_year,announcement_year_source,announcement_year_confidence,legislation_year,legislation_year_source,legislation_year_confidence,implementation_year_end,implementation_year_source,implementation_year_confidence,theme,sub_theme,secondary_type,alternative_theme,rd_actor,rd_stage,growth_orientation,growth_orientation_rationale,growth_orientation_confidence,package_name,component_name,is_component,status,status_evidence,status_confidence,is_major_reform,importance_bucket,importance_rationale,importance_confidence,description,source_quote,source_page_start,source_page_end,event_id,n_mentions,mention_survey_years,mention_ids
DNK_2005_004,DNK,Denmark,2005,,2004.0,explicit,high,,,,,,,innovation,startup_ecosystem,,,private,adoption,growth_supporting,Facilitating re-entry for failed entrepreneurs is expected to foster a more dynamic startup ecosystem and encourage innovation.,high,Entrepreneurship Support Reform,Bankruptcy Regulation Relaxation,True,recommended,The proposal has been made but not yet implemented.,medium,False,2,This reform is significant in supporting entrepreneurship but does not represent a major systemic change.,medium,"The Danish government proposed to relax bankruptcy regulations to facilitate easier re-entry for failed entrepreneurs, which is expected to enhance innovation and growth by allowing entrepreneurs to learn from their failures.",The government put a proposal to parliament in late 2004 aimed at relaxing these regulations and making it easier for failed entrepreneurs to start over.,150.0,150.0,EVT_DNK_nan_0059,1,2005,DNK_2005_004
DNK_2013_003,DNK,Denmark,2013,,2013.0,explicit,high,,,,,,,innovation,rd_funding,,,public_private,applied,growth_supporting,Improving the connection between academia and industry can lead to increased innovation and productivity in the economy.,high,2013 Research Funding Reform,,False,recommended,The recommendation suggests a shift in funding strategy to enhance collaboration.,high,False,2,This reform represents a significant shift in funding strategy that could enhance innovation capacity through better collaboration.,medium,Denmark is moving towards a more balanced mix of project and institutional-based research funding to enhance links between universities and industry.,Move towards a more balanced mix of project and institutional based research funding with the objective to increase the links between universities and industry.,36.0,36.0,EVT_DNK_nan_0060,1,2013,DNK_2013_003
DNK_2013_008,DNK,Denmark,2013,,2013.0,explicit,high,,,,,,,innovation,innovation_instruments,,,public,unknown,growth_supporting,"Streamlining funding programmes can enhance efficiency and effectiveness in supporting innovation, potentially leading to increased economic growth.",medium,Innovation Policy Streamlining,,False,recommended,The recommendation to evaluate and streamline innovation funding programmes was made.,high,False,2,"While significant, this reform is more about improving existing structures rather than creating new ones, thus it is important but not major.",medium,The government is evaluating the recent merger of different innovation funding programmes to streamline innovation policy instruments and funding programmes.,"Evaluate the recent merger of different innovation funding programmes and if needed, consider further streamlining innovation policy instruments and funding programmes.",,,EVT_DNK_nan_0062,1,2013,DNK_2013_008
DNK_2013_011,DNK,Denmark,2013,,,,,,,,,,,innovation,innovation_instruments,,,public_private,applied,growth_supporting,Improving support for innovative firms can lead to increased productivity and competitiveness in the economy.,high,2013 Innovation Policy Enhancement,,False,recommended,The recommendation emphasizes the need for better support mechanisms for innovative firms.,high,False,2,"This reform addresses a significant aspect of the innovation policy framework, focusing on enhancing support for a key segment of the economy.",medium,Denmark aims to enhance the efficiency of its innovation policies by ensuring that some schemes provide effective support to young and dynamic innovative firms.,It is important to make sure that some schemes provide efficient support to young and dynamic innovative firms.,40.0,40.0,EVT_DNK_nan_0064,1,2013,DNK_2013_011
DNK_2013_012,DNK,Denmark,2013,,,,,,,,,,,innovation,innovation_instruments,,,private,applied,growth_supporting,"Enhancing R&D tax credits can incentivize firms to invest more in research and development, leading to innovation and economic growth.",high,2013 R&D Tax Credit Reform,,False,recommended,The recommendation suggests improvements to R&D tax credit programmes to support innovative firms.,high,False,2,This reform is significant as it directly impacts the financial incentives for firms to engage in R&D activities.,medium,The OECD recommends extending carry-over provisions and cash refunds in R&D tax credit programmes or increasing direct support to better assist young and dynamic firms.,Further extend carry-over provisions and cash refunds in R&D tax credit programmes or increase direct support.,13.0,13.0,EVT_DNK_nan_0065,1,2013,DNK_2013_012
DNK_2019_006,DNK,Denmark,2019,,,,,,,,,,,innovation,innovation_instruments,,,private,adoption,growth_supporting,"By reducing the tax bias against equity, the ACE could encourage more investment in innovative projects, thereby enhancing economic growth.",high,Corporate Tax Reform Initiative,Allowance for Corporate Equity,True,recommended,The Government has proposed the ACE as a reform to stimulate investment.,medium,True,3,The introduction of an ACE represents a significant shift in corporate tax policy that could fundamentally alter investment incentives and support innovation.,high,"The Danish government is considering an allowance for corporate equity (ACE) to reduce the tax bias towards debt financing, which could stimulate investment and innovation.",A more fundamental reform to introduce an allowance for corporate equity (ACE) is currently being considered by the Government.,,,EVT_DNK_nan_0068,1,2019,DNK_2019_006
DNK_2019_013,DNK,Denmark,2019,,2019.0,explicit,high,,,,,,,innovation,knowledge_transfer,,,public_private,commercialization,growth_supporting,Facilitating collaboration is expected to enhance knowledge transfer and commercialization of research outputs.,high,2019 Innovation Strategy,,False,recommended,The recommendation to improve collaboration between universities and businesses is emphasized in the survey.,high,False,2,"This reform is significant as it addresses barriers to collaboration, which is essential for enhancing innovation and economic growth.",medium,The Danish government aims to improve collaboration between universities and businesses by simplifying the regulatory framework and enhancing intellectual property rights policies.,"Improve collaboration between universities and businesses by reducing the complexity of the system regulating cooperation, and improving intellectual property right policies of universities.",130.0,130.0,EVT_DNK_nan_0069,1,2019,DNK_2019_013
GBR_2005_004,GBR,United Kingdom,2005,2008.0,,,,,,,,explicit,high,innovation,startup_ecosystem,,,public_private,adoption,growth_supporting,"By fostering a diverse childcare market, the reform encourages innovative solutions that can enhance service quality and accessibility, thereby supporting labor market participation.",high,Ten Year Childcare Strategy,,False,recommended,The policy aim is to build a more coherent supply of childcare by 2008.,high,True,3,"This reform represents a significant structural change in childcare provision, aiming to enhance the quality and accessibility of services, which is crucial for supporting working families and promoting economic participation.",high,"The UK government aims to develop a coherent supply of childcare by integrating public and private providers, which is expected to stimulate innovation in childcare services.","The policy aim is to build a more coherent supply, as local authorities are given a duty to ensure sufficient childcare supply to meet the needs of families by 2008.",97.0,97.0,EVT_GBR_2008.0_0076,1,2005,GBR_2005_004
GBR_2013_002,GBR,United Kingdom,2013,2015.0,2012.0,explicit,high,,,,,explicit,high,innovation,research_infrastructure,,,public_private,unknown,growth_supporting,"By enabling the Green Investment Bank to borrow, the government aims to increase funding for green infrastructure projects, which can stimulate economic growth and innovation in sustainable technologies.",high,Green Investment Strategy,,False,recommended,The government has considered giving the Green Investment Bank powers to borrow.,medium,False,2,"This reform is significant as it aims to enhance funding for green infrastructure, which is essential for sustainable economic growth.",medium,"The government has considered giving the Green Investment Bank powers to borrow from 2015/16 to enhance investment in green infrastructure, which includes energy, water, transport, and waste.",The government has considered giving the Green Investment Bank powers to borrow from 2015/16.,39.0,39.0,EVT_GBR_2015.0_0078,1,2013,GBR_2013_002
GBR_2005_011,GBR,United Kingdom,2005,,,,,,,,,,,innovation,research_infrastructure,,,public,applied,growth_supporting,"Improving transport infrastructure is expected to enhance productivity by reducing congestion and business costs, thereby supporting economic growth.",high,Transport Infrastructure Investment Plan,,False,recommended,The government's plans to increase investment in transport are discussed as a necessary step to improve productivity.,high,False,2,"This reform addresses a significant issue of under-investment in infrastructure, which is crucial for enhancing productivity and economic performance.",medium,"The United Kingdom's government plans to increase investment in transport infrastructure to address years of under-investment, which may have hindered productivity growth and added to business costs.",The government’s plans to increase investment in transport as well as the growing interest in congestion charging are examined.,,,EVT_GBR_nan_0084,1,2005,GBR_2005_011
