survey,country,year,pipeline_status,rd_hits,json_status,reextract_priority
AUS_1990,AUS,1990,reforms_extracted,21,0_reforms,high
AUT_1993,AUT,1993,reforms_extracted,19,0_reforms,medium
CHE_1966,CHE,1966,text_extracted,6,0_reforms,high
CHE_1989,CHE,1989,reforms_extracted,25,0_reforms,high
CHE_1990,CHE,1990,reforms_extracted,21,0_reforms,high
CHE_1991,CHE,1991,reforms_extracted,15,0_reforms,medium
FIN_2010,FIN,2010,reforms_extracted,60,0_reforms,high
HUN_1995,HUN,1995,reforms_extracted,13,0_reforms,medium
ISL_1990,ISL,1990,reforms_extracted,10,0_reforms,medium
ISL_2008,ISL,2008,reforms_extracted,20,0_reforms,high
ISL_2009,ISL,2009,reforms_extracted,16,0_reforms,medium
ISL_2013,ISL,2013,reforms_extracted,13,0_reforms,medium
ISR_2016,ISR,2016,reforms_extracted,39,0_reforms,high
ITA_2009,ITA,2009,reforms_extracted,95,0_reforms,high
JPN_1991,JPN,1991,reforms_extracted,40,0_reforms,high
JPN_1992,JPN,1992,reforms_extracted,46,0_reforms,high
JPN_1993,JPN,1993,reforms_extracted,14,0_reforms,medium
JPN_1997,JPN,1997,reforms_extracted,22,0_reforms,high
LUX_2010,LUX,2010,reforms_extracted,18,0_reforms,medium
NOR_2001,NOR,2001,reforms_extracted,20,0_reforms,high
NOR_2005,NOR,2005,reforms_extracted,33,0_reforms,high
PRT_1964,PRT,1964,text_extracted,5,0_reforms,high
PRT_1966,PRT,1966,text_extracted,6,0_reforms,high
PRT_1994,PRT,1994,reforms_extracted,14,0_reforms,medium
SVN_1997,SVN,1997,reforms_extracted,14,0_reforms,medium
SWE_1963,SWE,1963,text_extracted,6,0_reforms,high
SWE_1965,SWE,1965,text_extracted,8,0_reforms,high
SWE_1966,SWE,1966,text_extracted,6,0_reforms,high
SWE_1968,SWE,1968,text_extracted,5,0_reforms,high
SWE_1990,SWE,1990,reforms_extracted,15,0_reforms,medium
SWE_1992,SWE,1992,reforms_extracted,15,0_reforms,medium
SWE_1994,SWE,1994,reforms_extracted,10,0_reforms,medium
SWE_2012,SWE,2012,reforms_extracted,23,0_reforms,high
TUR_1999,TUR,1999,reforms_extracted,12,0_reforms,medium
USA_1988,USA,1988,reforms_extracted,37,0_reforms,high
USA_2008,USA,2008,reforms_extracted,29,0_reforms,high
