country,year,section_code,section_name_en,program_code,program_description,line_description,amount_local,currency,rd_category,pillar,decision,confidence,source_file,page_number
Denmark,1975,§20,Ministry of Education,70.30,Forskningscentret ved Hørsholm 70.35. Atomenergikommissionen,70.30 Forskningscentret ved Hørsholm 70.35. Atomenergikommissionen,3000000,DKK,direct_rd,Direct R&D,review,0.99,1975 19742_L1_som_vedtaget.pdf,126
Denmark,1978,§20,Ministry of Education,53.21,OECD's center for uddannelsesforskning og udvikling,53.21 OECD's center for uddannelsesforskning og udvikling,88000,DKK,direct_rd,Direct R&D,include,0.99,1978 19771_L101_som_vedtaget.pdf,95
Denmark,1979,§20,Ministry of Education,53.21,O.E.C.D.'s center for uddannelsesforskning og udvikling,53.21 O.E.C.D.'s center for uddannelsesforskning og udvikling,88000,DKK,direct_rd,Direct R&D,include,0.99,1979 9781_L1_som_vedtaget.pdf,97
Denmark,1977,§20,Ministry of Education,53.21,O.E.C.D.'s center for uddannelsesforskning og udvikling,53.21 O.E.C.D.'s center for uddannelsesforskning og udvikling,83000,DKK,direct_rd,Direct R&D,include,0.99,1977 19762_L1_som_vedtaget.pdf,106
Denmark,1984,§20,Ministry of Education,52.02,"Psykiatrisk grundforskning, Set. Hans Hospital, L 328 1975 §","52.02 Psykiatrisk grundforskning, Set. Hans Hospital, L 328 1975 §",779460000,DKK,direct_rd,Direct R&D,include,0.99,1984 19832_L1_som_vedtaget.pdf,141
Denmark,1984,§20,Ministry of Education,52.02,"Psykiatrisk grundforskning, Set. Hans Hospital, L 328 1975 §","52.02 Psykiatrisk grundforskning, Set. Hans Hospital, L 328 1975 §",70900000,DKK,direct_rd,Direct R&D,include,0.99,1984 19832_L1_som_vedtaget.pdf,141
Denmark,1984,§20,Ministry of Education,09.89,Forskellige tilskud,09.89 Forskellige tilskud,16894700,DKK,direct_rd,Direct R&D,review,0.99,1984 19832_L1_som_vedtaget.pdf,140
Denmark,1984,§20,Ministry of Education,52.01,"Psykiatrisk grundforskning, Psykiatrisk Hospital, Århus, L","52.01 Psykiatrisk grundforskning, Psykiatrisk Hospital, Århus, L",12375300,DKK,direct_rd,Direct R&D,review,0.99,1984 19832_L1_som_vedtaget.pdf,140
Denmark,1983,§20,Ministry of Education,09.89,Forskellige tilskud,09.89 Forskellige tilskud,11914900,DKK,direct_rd,Direct R&D,review,0.99,1983 19821_L1_som_vedtaget.pdf,115
Denmark,1983,§20,Ministry of Education,52.01,"Psykiatrisk grundforskning. L 328 1975, § 6","52.01 Psykiatrisk grundforskning. L 328 1975, § 6",11239000,DKK,direct_rd,Direct R&D,include,0.99,1983 19821_L1_som_vedtaget.pdf,115
